location,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow
lat,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006
lon,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523
asl,58.954,58.954,58.954,58.954,58.954,58.954,58.954,58.954
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Wind Speed,Wind Direction,Wind Speed,Wind Direction
unit,°C,%,hPa,mm,km/h,°,km/h,°
level,2 m elevation corrected,2 m,MSL,sfc,10 m,10 m,80 m,80 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,Glasgow Temperature (°C) [2 m elevation corrected],Glasgow Relative Humidity (%) [2 m],Glasgow Mean Sea Level Pressure (hPa) [MSL],Glasgow Precipitation Total (mm) ,Glasgow Wind Speed (km/h) [10 m],Glasgow Wind Direction (°) [10 m],Glasgow Wind Speed (km/h) [80 m],Glasgow Wind Direction (°) [80 m]
20200705T0000,13.323198,94.0,994.8,2.0,10.932142,133.02505,19.228851,141.84277
20200705T0100,13.963199,94.0,993.2,3.5,11.029089,217.1467,22.45315,221.0995
20200705T0200,13.953198,91.0,993.0,0.0,22.459906,247.69379,41.180286,247.91956
20200705T0300,13.193198,91.0,992.4,0.0,20.643852,252.73419,37.585102,253.30075
20200705T0400,12.043199,88.0,992.1,0.0,24.399971,259.3035,44.211166,260.15417
20200705T0500,10.773198,89.0,993.6,0.0,23.924143,277.67896,43.986343,280.8501
20200705T0600,10.953198,87.0,995.1,0.0,23.521778,283.0919,42.34708,284.27252
20200705T0700,11.293199,85.0,996.3,0.0,20.486835,282.77124,36.409866,284.31104
20200705T0800,11.563198,86.0,996.5,0.6,18.185581,275.04245,31.093666,275.31454
20200705T0900,11.203198,79.0,998.0,0.3,25.244825,277.275,42.86873,277.72183
20200705T1000,11.353198,78.0,999.0,0.1,23.176798,270.0,38.881668,270.53052
20200705T1100,11.733198,76.0,1000.2,0.1,24.248253,268.74097,39.966484,268.96777
20200705T1200,11.633199,78.0,1000.4,0.1,23.035517,264.0257,38.723015,264.1304
20200705T1300,12.193198,79.0,999.9,0.7,23.785805,254.4072,39.12092,255.06857
20200705T1400,11.933199,77.0,999.9,0.5,23.928593,258.43988,39.961617,259.09497
20200705T1500,11.893199,79.0,1000.1,0.4,21.826925,250.0169,36.10963,249.57767
20200705T1600,12.163198,77.0,999.6,0.7,22.077473,250.25317,38.141315,250.70996
20200705T1700,11.973199,82.0,999.1,0.6,23.603098,253.61046,40.35213,254.47589
20200705T1800,11.463199,87.0,999.2,0.5,15.932858,249.44395,25.40743,249.25392
20200705T1900,11.963199,81.0,1000.3,0.2,20.01549,279.9638,33.39473,281.1888
20200705T2000,11.803199,82.0,1000.7,0.0,20.869513,284.03625,36.247547,285.55457
20200705T2100,11.143199,83.0,1002.0,0.0,22.1689,290.3949,39.107666,291.60553
20200705T2200,10.263199,86.0,1003.5,0.0,21.146523,289.11972,38.385185,290.30447
20200705T2300,9.733198,88.0,1004.3,0.0,19.190048,283.65042,35.11061,285.46124
20200706T0000,10.213199,88.0,1004.2,0.0,17.0496,270.0,30.619051,272.02136
20200706T0100,10.703198,88.0,1004.6,0.0,18.38353,270.83032,33.190357,273.7314
20200706T0200,11.023198,88.0,1005.4,0.0,18.181675,280.98065,33.70377,283.59094
20200706T0300,10.833199,91.0,1006.0,0.0,17.285234,298.53998,31.487139,300.96378
20200706T0400,10.3731985,88.0,1007.7,0.0,17.316,323.13013,31.65135,326.1292
20200706T0500,9.353198,88.0,1009.0,0.0,16.398212,316.97495,30.886656,319.25385
20200706T0600,9.743198,87.0,1010.7,0.0,17.519724,315.61606,31.63087,318.6914
20200706T0700,10.433199,79.0,1012.4,0.0,18.931276,320.7106,32.33193,322.23694
20200706T0800,11.193198,76.0,1013.5,0.0,18.67272,317.8913,30.61482,318.8141
20200706T0900,12.003199,72.0,1015.2,0.0,19.851715,319.8991,32.048088,321.84277
20200706T1000,12.493198,68.0,1016.7,0.0,20.140966,322.52383,31.682043,323.7812
20200706T1100,13.003199,64.0,1018.2,0.0,20.262169,320.86963,31.037344,322.06674
20200706T1200,13.353198,63.0,1018.6,0.0,19.971117,316.08093,30.563978,316.90915
20200706T1300,14.283198,64.0,1018.2,0.0,19.394213,307.1847,28.51282,307.30396
20200706T1400,13.923199,66.0,1018.8,0.0,19.234373,300.82767,29.204409,300.35812
20200706T1500,13.823198,68.0,1019.0,0.0,19.432598,298.67316,30.282827,298.39304
20200706T1600,13.923199,67.0,1019.5,0.0,19.561815,299.35776,30.141266,299.3205
20200706T1700,13.083199,69.0,1019.6,0.0,19.199291,299.0546,29.96662,298.72034
20200706T1800,13.003199,68.0,1020.3,0.0,18.587008,297.29956,29.142216,297.19812
20200706T1900,12.503199,72.0,1021.1,0.0,18.234295,295.06747,29.144442,295.61548
20200706T2000,11.883199,74.0,1021.2,0.0,17.771095,293.87527,28.84047,294.32556
20200706T2100,11.053199,77.0,1021.3,0.0,16.028337,291.44775,27.14123,291.8014
20200706T2200,10.383199,81.0,1021.2,0.0,13.118679,282.9074,24.535524,284.44403
20200706T2300,9.763199,85.0,1021.1,0.0,11.467584,272.66302,22.007162,273.75174
20200707T0000,9.293199,89.0,1020.8,0.0,10.420294,265.6013,20.532627,267.99045
20200707T0100,9.353198,91.0,1020.1,0.0,11.003319,263.04706,20.598795,264.98688
20200707T0200,9.483198,91.0,1019.6,0.0,11.239428,264.5597,21.26744,267.08917
20200707T0300,9.533198,92.0,1019.3,0.0,10.709147,264.28943,19.852295,265.84036
20200707T0400,9.503199,92.0,1018.8,0.0,10.03165,259.28687,18.228943,260.90973
20200707T0500,9.833199,92.0,1017.9,0.0,9.697106,249.0755,17.654688,249.71744
20200707T0600,10.463199,90.0,1017.4,0.0,11.038736,250.25317,19.586117,252.89728
20200707T0700,11.003199,88.0,1017.0,0.1,10.870295,252.89728,17.902534,254.84595
20200707T0800,11.113198,88.0,1016.1,0.4,10.615965,252.47443,16.965895,252.7185
20200707T0900,11.3731985,88.0,1016.1,0.4,9.795408,247.61987,15.315873,246.44774
20200707T1000,12.163198,86.0,1016.3,0.5,10.817939,260.07376,17.106628,261.52887
20200707T1100,12.243198,84.0,1016.3,0.6,12.74829,259.1597,19.839235,258.48618
20200707T1200,12.243198,85.0,1016.2,0.5,12.734365,254.21925,19.483284,253.90918
20200707T1300,12.903198,80.0,1016.3,0.3,9.384694,263.4802,12.7279215,261.8699
20200707T1400,13.143199,78.0,1015.8,0.3,9.061517,268.3153,12.605142,268.36343
20200707T1500,13.503199,75.0,1015.1,0.1,8.541434,273.57632,11.159999,270.0
20200707T1600,14.613198,71.0,1015.2,0.0,7.237064,276.3402,9.0645685,276.84277
20200707T1700,14.823198,69.0,1014.7,0.0,6.487264,289.17902,8.089993,290.85446
20200707T1800,14.903198,68.0,1014.4,0.0,6.874978,305.5377,8.4963045,306.38437
20200707T1900,14.903198,67.0,1014.5,0.0,7.36826,319.3987,9.726664,321.00903
20200707T2000,14.393199,70.0,1014.1,0.0,7.3150935,326.88867,9.693296,328.67133
20200707T2100,13.733198,74.0,1013.9,0.0,6.579594,328.24054,9.511088,330.5241
20200707T2200,13.053199,79.0,1014.2,0.0,5.328,306.8699,8.4963045,306.38437
20200707T2300,12.433199,83.0,1015.0,0.0,5.0052013,295.2011,9.565437,289.7989
20200708T0000,11.523198,87.0,1014.9,0.0,3.7862556,309.28943,8.669949,311.63354
20200708T0100,11.223199,90.0,1014.9,0.0,3.1067312,329.03625,7.9526596,5.194412
20200708T0200,11.093199,92.0,1015.4,0.0,2.4123545,6.340164,10.685391,57.380745
20200708T0300,11.163198,89.0,1015.0,0.0,4.6600966,59.036232,14.241629,73.85565
20200708T0400,11.153198,88.0,1015.0,0.0,5.842608,65.772255,14.241629,73.85565
20200708T0500,10.943198,92.0,1015.3,0.0,5.600739,64.65382,10.137692,73.495636
20200708T0600,11.033198,93.0,1015.3,0.0,4.976763,74.47588,7.6367526,81.869896
20200708T0700,11.613198,91.0,1015.5,0.0,4.861344,80.537674,6.924738,81.02737
20200708T0800,12.173199,87.0,1015.5,0.0,5.600739,87.27369,7.928178,87.39744
20200708T0900,12.583199,80.0,1016.3,0.0,4.5288,89.99999,6.12,89.99999
20200708T1000,13.103198,75.0,1016.7,0.0,5.068606,86.98721,6.4799995,89.99999
20200708T1100,13.503199,72.0,1016.9,0.0,5.068606,93.01279,6.130579,93.366455
20200708T1200,14.483198,68.0,1017.0,0.0,5.8608,89.99999,7.5599995,89.99999
20200708T1300,15.433199,65.0,1016.3,0.0,6.9263997,89.99999,9.36,89.99999
20200708T1400,15.263199,65.0,1016.5,0.0,5.068606,93.01279,6.519877,96.34019
20200708T1500,15.403198,63.0,1016.5,0.0,3.8788424,105.9454,5.0142193,111.03751
20200708T1600,15.683199,62.0,1015.5,0.0,3.2189233,114.44395,3.7064266,119.054596
20200708T1700,16.023197,60.0,1015.3,0.0,2.1967907,165.96376,2.5455842,171.8699
20200708T1800,15.803199,60.0,1015.5,0.0,1.5533656,210.96376,1.8,216.8699
20200708T1900,16.243198,59.0,1015.9,0.0,1.7057923,218.65982,2.3051248,218.65982
20200708T2000,15.923199,60.0,1015.0,0.0,1.506986,225.0,2.0364676,225.0
20200708T2100,15.403198,62.0,1015.1,0.0,1.6204481,260.5377,2.1897945,260.5377
20200708T2200,15.023198,65.0,1015.2,0.0,0.753493,44.999985,1.1384199,71.56504
20200708T2300,14.553199,66.0,1014.9,0.0,4.912173,77.47118,10.594036,80.21759
20200709T0000,12.483198,81.0,1014.4,0.0,8.855546,68.83874,20.696085,76.93067
20200709T0100,10.853198,89.0,1014.0,0.0,7.5818768,71.56504,21.626984,87.137596
20200709T0200,10.513199,89.0,1014.3,0.0,6.5308766,78.231705,14.8257065,119.054596
20200709T0300,10.393199,90.0,1013.9,0.0,6.487264,70.820984,10.233123,129.2894
20200709T0400,10.173199,90.0,1013.5,0.0,6.5795946,68.62937,12.313893,105.25512
20200709T0500,10.143199,89.0,1013.1,0.0,7.276183,66.250496,17.294992,92.38594
20200709T0600,10.523198,87.0,1012.8,0.0,8.466324,77.27564,18.0,89.99999
20200709T0700,11.6231985,85.0,1012.8,0.0,8.80733,86.53177,12.964998,88.40886
20200709T0800,12.463199,81.0,1011.9,0.0,9.87119,86.90593,15.137133,87.27369
20200709T0900,12.433199,83.0,1011.8,0.0,10.137212,86.98721,16.215992,87.45519
20200709T1000,12.893199,81.0,1012.2,0.0,10.154698,85.48601,15.856356,87.39744
20200709T1100,14.803199,72.0,1012.3,0.0,11.892902,74.40718,17.462782,75.677284
20200709T1200,15.173199,67.0,1011.6,0.0,10.817939,80.07375,15.986595,82.23483
20200709T1300,16.003199,62.0,1014.6,0.0,7.0078893,351.25385,9.422101,353.41806
20200709T1400,15.633199,64.0,1014.3,0.0,7.5818768,341.56506,10.137692,343.49564
20200709T1500,15.533198,66.0,1014.4,0.1,7.5066204,332.52557,9.983106,334.359
20200709T1600,15.443198,66.0,1014.3,0.1,7.53493,315.0,9.931042,316.4688
20200709T1700,15.713199,64.0,1013.6,0.0,7.619226,306.46924,10.296251,306.46924
20200709T1800,15.6231985,63.0,1014.1,0.0,7.684151,303.69006,11.681987,303.69006
20200709T1900,16.063198,59.0,1014.2,0.0,9.166637,305.5377,14.113652,307.74683
20200709T2000,15.773198,58.0,1014.3,0.0,11.327483,311.1859,18.089775,312.5805
20200709T2100,14.753199,62.0,1014.3,0.0,13.207638,311.72952,23.686249,313.1524
20200709T2200,13.463199,67.0,1014.7,0.0,14.535288,311.28473,27.238943,314.46454
20200709T2300,12.413198,71.0,1014.9,0.0,14.9112625,311.37854,27.748037,314.47437
20200710T0000,11.613198,76.0,1015.2,0.0,14.321323,313.49255,26.478971,316.1017
20200710T0100,10.993198,80.0,1015.6,0.0,13.583788,311.8202,24.693481,314.40936
20200710T0200,10.543199,84.0,1015.9,0.0,13.010033,312.51044,23.675303,314.38397
20200710T0300,10.153198,86.0,1015.8,0.0,12.622413,315.8551,23.469128,318.7314
20200710T0400,9.703198,89.0,1016.0,0.0,11.67914,315.0,23.1774,316.88818
20200710T0500,9.113198,91.0,1015.8,0.0,10.738927,313.99493,22.401142,315.0
20200710T0600,9.473199,89.0,1016.1,0.0,9.9997635,311.7603,18.584509,314.2152
20200710T0700,10.723199,83.0,1016.8,0.0,10.925649,315.0,16.80857,316.73572
20200710T0800,12.083199,75.0,1016.7,0.0,11.733703,320.52753,17.148247,320.96448
20200710T0900,12.233198,74.0,1017.2,0.0,11.128379,317.91083,16.831684,318.46823
20200710T1000,12.453198,72.0,1017.9,0.0,11.15386,310.156,16.323528,311.42368
20200710T1100,12.563198,73.0,1018.3,0.0,12.933438,302.38068,19.469976,303.69006
20200710T1200,12.963199,70.0,1018.4,0.0,13.8937235,302.4712,20.3774,302.00537
20200710T1300,14.193198,65.0,1018.4,0.0,18.350687,297.68106,28.337282,297.2161
20200710T1400,13.643199,69.0,1018.3,0.0,18.123034,294.30457,28.185953,294.9285
20200710T1500,13.573198,70.0,1018.8,0.0,17.513649,296.1753,27.36947,296.56506
20200710T1600,13.643199,69.0,1019.1,0.0,17.681013,300.8157,27.783045,301.2184
20200710T1700,13.563198,68.0,1018.7,0.0,17.068321,304.18613,26.574244,305.62793
20200710T1800,13.953198,67.0,1019.5,0.0,17.157482,306.1582,25.992401,306.5525
20200710T1900,13.303199,71.0,1020.3,0.0,16.32882,303.69006,25.1614,303.91742
20200710T2000,12.6231985,75.0,1020.7,0.0,15.533656,300.96378,24.57511,301.82745
20200710T2100,12.063198,77.0,1020.9,0.0,14.630187,303.11136,23.86341,303.9298
20200710T2200,11.483198,79.0,1021.3,0.0,13.749956,305.5377,22.682856,305.9605
20200710T2300,11.003199,82.0,1022.1,0.0,13.020938,300.76273,20.991426,300.96378
20200711T0000,10.483198,85.0,1022.4,0.0,12.633653,294.9439,20.929594,296.56506
20200711T0100,10.023198,87.0,1022.9,0.0,11.8240795,292.52057,20.140705,294.27444
20200711T0200,9.673199,89.0,1023.7,0.0,9.8568,288.92465,19.130875,289.7989
20200711T0300,9.813198,90.0,1023.0,0.0,9.44124,286.38956,19.353138,288.43497
20200711T0400,9.523198,93.0,1022.8,0.0,10.9516,288.43494,20.730501,290.32315
20200711T0500,9.833199,90.0,1023.4,0.0,11.8240795,292.52057,21.273533,293.9625
20200711T0600,9.933199,88.0,1023.3,0.0,12.384018,288.8247,21.194187,290.89777
20200711T0700,10.593199,84.0,1023.7,0.0,13.607278,293.0513,21.603,293.5747
20200711T0800,11.103198,80.0,1023.6,0.0,13.505193,292.0113,20.523157,291.61478
20200711T0900,11.903198,75.0,1024.3,0.0,13.73188,288.08344,20.49156,288.43494
20200711T1000,12.513199,73.0,1024.7,0.0,13.816892,289.13367,20.150354,288.75867
20200711T1100,13.013199,71.0,1025.3,0.0,14.9112625,288.75867,21.746502,289.3348
20200711T1200,13.363198,69.0,1025.6,0.0,15.841282,289.6538,23.006226,290.1363
20200711T1300,15.193198,66.0,1025.8,0.0,18.091677,283.627,26.6327,283.28485
20200711T1400,15.453198,65.0,1025.7,0.0,18.296463,286.06,26.901417,285.5241
20200711T1500,15.563198,65.0,1025.6,0.0,18.36808,289.48615,27.09822,289.39783
20200711T1600,15.483198,65.0,1025.8,0.0,17.367155,290.6589,26.081993,290.1858
20200711T1700,15.323198,66.0,1025.5,0.0,16.848616,288.43497,25.38702,288.178
20200711T1800,15.083199,67.0,1025.8,0.0,16.344027,289.0256,24.703976,288.69897
20200711T1900,14.653198,68.0,1026.9,0.0,15.59066,286.8868,23.795427,287.61258
20200711T2000,13.943198,71.0,1026.6,0.0,14.748554,286.79837,23.34455,287.03778
20200711T2100,13.103198,75.0,1026.5,0.0,12.990926,285.46124,21.758419,286.33606
20200711T2200,12.233198,79.0,1026.8,0.0,9.770018,281.00354,19.13426,281.94418
20200711T2300,11.423199,84.0,1026.9,0.0,8.262695,271.84763,17.339897,274.76364
20200712T0000,10.503199,87.0,1026.8,0.0,7.463956,267.9546,16.575644,272.48956
20200712T0100,9.673199,90.0,1027.2,0.0,6.6812778,265.4261,15.84409,271.30197
20200712T0200,8.973199,93.0,1027.8,0.0,5.334656,267.1376,14.404499,271.4321
20200712T0300,8.423199,95.0,1027.0,0.0,4.861344,260.5377,12.959999,270.0
20200712T0400,8.3731985,96.0,1026.8,0.0,4.4656777,252.64598,12.7279215,261.8699
20200712T0500,8.713199,95.0,1026.9,0.0,4.5288,241.92752,10.028439,248.9625
